title,status,proposal_date,categories,party_cleaned
ร่างพระราชบัญญัติแก้ไขเพิ่มเติมพระราชกำหนดการประมง พ.ศ. 2558 พ.ศ. ....,MERGED,2023-09-06,สิ่งแวดล้อม,พรรคภูมิใจไทย
ร่างพระราชบัญญัติแก้ไขเพิ่มเติมพระราชกำหนดการประมง พ.ศ. 2558 พ.ศ. ....,MERGED,2023-09-06,สิ่งแวดล้อม,พรรคภูมิใจไทย
ร่างพระราชบัญญัติอาสาสมัครสาธารณสุขประจำหมู่บ้าน พ.ศ. ....,MERGED,2025-06-20,สาธารณสุข,พรรครวมไทยสร้างชาติ
ร่างพระราชบัญญัติอาสาสมัครสาธารณสุขประจำหมู่บ้าน พ.ศ. ....,MERGED,2025-06-20,สาธารณสุข,พรรคประชาธิปัตย์
ร่างพระราชบัญญัติแก้ไขเพิ่มเติมประมวลกฎหมายแพ่งและพาณิชย์ (ฉบับที่) พ.ศ. ....,IN_PROGRESS,2024-02-21,กระบวนการยุติธรรม,พรรคภูมิใจไทย
ร่างพระราชบัญญัติระเบียงเขตเศรษฐกิจพิเศษภาคใต้ พ.ศ. ....,IN_PROGRESS,2023-08-30,เศรษฐกิจ,พรรคภูมิใจไทย
ร่างพระราชบัญญัติให้ใช้ประมวลกฎหมายยาเสพติด (ฉบับที่ ..) พ.ศ. ....,REJECTED,2025-06-18,กระบวนการยุติธรรม,พรรคประชาชน
ร่างพระราชบัญญัติการแข่งขันทางการค้า (ฉบับที่..) พ.ศ. ....,IN_PROGRESS,2025-06-26,เศรษฐกิจ,พรรคประชาชน
ร่างพระราชบัญญัติสร้างเสริมสังคมสันติสุข พ.ศ. ....,IN_PROGRESS,2024-01-25,การเมือง,พรรครวมไทยสร้างชาติ
ร่างพระราชบัญญัติการจัดซื้อจัดจ้างและการบริหารพัสดุภาครัฐ (ฉบับที่ ..) พ.ศ. ....,REJECTED,2025-06-18,เศรษฐกิจ,พรรคประชาชน
ร่างพระราชบัญญัติโรงแรมและสถานที่พักที่ไม่เป็นโรงแรม (ฉบับที่ ..) พ.ศ. ....,REJECTED,2025-06-17,เศรษฐกิจ,พรรคเพื่อไทย
